lsoa_code,lsoa_name,value
E01000691,Bromley 002C,459500
E01000692,Bromley 002D,550400
E01000693,Bromley 010A,594200
E01000694,Bromley 007C,693317
E01000695,Bromley 007D,719413
E01000696,Bromley 007E,854568
E01000697,Bromley 007F,624951
E01000698,Bromley 010B,1017095
E01000699,Bromley 015A,351238
E01000700,Bromley 013A,429413
E01000701,Bromley 015B,448888
E01000702,Bromley 013B,439023
E01000703,Bromley 013C,561153
E01000704,Bromley 015C,401316
E01000705,Bromley 015D,411213
E01000706,Bromley 013D,419600
E01000707,Bromley 041A,623039
E01000708,Bromley 041B,581000
E01000709,Bromley 006A,437302
E01000710,Bromley 006B,459730
E01000711,Bromley 006C,490851
E01000712,Bromley 012A,497387
E01000713,Bromley 012B,489154
E01000714,Bromley 006D,439249
E01000715,Bromley 012C,460867
E01000716,Bromley 011C,604613
E01000717,Bromley 011D,406905
E01000718,Bromley 006E,461143
E01000719,Bromley 019A,268484
E01000720,Bromley 019B,274192
E01000721,Bromley 019C,244400
E01000722,Bromley 023A,309500
E01000723,Bromley 029A,377761
E01000724,Bromley 019D,329471
E01000725,Bromley 023B,301787
E01000726,Bromley 029B,317848
E01000727,Bromley 028A,374737
E01000728,Bromley 019E,321432
E01000729,Bromley 014A,345635
E01000730,Bromley 014B,275386
E01000731,Bromley 023C,328923
E01000732,Bromley 023D,557056
E01000733,Bromley 023E,333821
E01000734,Bromley 028B,416010
E01000735,Bromley 014C,334572
E01000736,Bromley 010C,372567
E01000737,Bromley 010D,304850
E01000738,Bromley 014D,358241
E01000739,Bromley 014E,309423
E01000740,Bromley 005A,324188
E01000741,Bromley 005B,394631
E01000742,Bromley 005C,380882
E01000743,Bromley 009A,314000
E01000744,Bromley 009B,348083
E01000745,Bromley 005D,418692
E01000746,Bromley 005E,512048
E01000747,Bromley 042B,487148
E01000748,Bromley 042C,761315
E01000749,Bromley 036A,468647
E01000750,Bromley 036B,426650
E01000751,Bromley 036C,453830
E01000752,Bromley 036D,429129
E01000753,Bromley 031A,568483
E01000754,Bromley 031B,444844
E01000755,Bromley 031C,520111
E01000756,Bromley 033D,1119086
E01000757,Bromley 031D,716192
E01000758,Bromley 031E,548353
E01000759,Bromley 034A,704120
E01000760,Bromley 034B,472868
E01000761,Bromley 034C,565136
E01000762,Bromley 018D,392804
E01000763,Bromley 027A,623469
E01000764,Bromley 027B,491981
E01000765,Bromley 034D,693452
E01000766,Bromley 027C,597083
E01000767,Bromley 027D,603532
E01000768,Bromley 034E,466452
E01000769,Bromley 024A,587500
E01000770,Bromley 012D,727065
E01000771,Bromley 041C,615972
E01000772,Bromley 012E,535303
E01000773,Bromley 024B,587100
E01000774,Bromley 041D,533423
E01000775,Bromley 024C,720167
E01000777,Bromley 024D,513550
E01000778,Bromley 024E,448947
E01000779,Bromley 001A,573303
E01000780,Bromley 001B,388900
E01000781,Bromley 001C,319433
E01000782,Bromley 001D,324767
E01000783,Bromley 001E,318852
E01000784,Bromley 002E,447500
E01000785,Bromley 001F,339424
E01000786,Bromley 032A,488693
E01000787,Bromley 029C,339000
E01000788,Bromley 029D,425306
E01000789,Bromley 032B,254833
E01000790,Bromley 028C,314039
E01000791,Bromley 029E,460750
E01000792,Bromley 032C,362925
E01000793,Bromley 032D,564889
E01000794,Bromley 035E,523333
E01000795,Bromley 032E,485397
E01000796,Bromley 009C,368900
E01000797,Bromley 013E,652500
E01000798,Bromley 009D,429072
E01000799,Bromley 004A,420946
E01000800,Bromley 009E,361375
E01000801,Bromley 015E,413136
E01000802,Bromley 004B,483363
E01000803,Bromley 004C,648321
E01000804,Bromley 004D,703500
E01000805,Bromley 004E,471269
E01000806,Bromley 009F,417849
E01000807,Bromley 022C,669344
E01000808,Bromley 025A,579633
E01000809,Bromley 022D,516658
E01000810,Bromley 025B,675675
E01000811,Bromley 025C,461569
E01000812,Bromley 028D,574171
E01000813,Bromley 025D,559012
E01000814,Bromley 028E,781411
E01000815,Bromley 025E,877000
E01000816,Bromley 040A,395933
E01000818,Bromley 040B,669426
E01000819,Bromley 040C,363727
E01000820,Bromley 008C,585059
E01000822,Bromley 008D,397556
E01000823,Bromley 008E,411697
E01000824,Bromley 008F,395560
E01000825,Bromley 008G,386333
E01000826,Bromley 021A,949021
E01000827,Bromley 021B,554621
E01000828,Bromley 011E,487200
E01000829,Bromley 018E,482832
E01000830,Bromley 021C,1051030
E01000831,Bromley 021D,560347
E01000832,Bromley 030A,575188
E01000833,Bromley 021E,751125
E01000834,Bromley 027E,622750
E01000835,Bromley 030B,536816
E01000836,Bromley 030C,568462
E01000837,Bromley 030D,450500
E01000838,Bromley 030E,538814
E01000839,Bromley 030F,593412
E01000840,Bromley 030G,620050
E01000841,Bromley 030H,439134
E01032562,Bromley 040D,347000
E01032563,Bromley 040E,580862
E01032568,Bromley 041E,375848
E01032570,Bromley 042D,358800
E01000842,Camden 011A,1566765
E01000843,Camden 014A,826524
E01000844,Camden 011B,1248594
E01000845,Camden 014B,1555921
